學號,班一般名次,班一般人數,平均成績,鎖定排名,系所名稱,系一般名次,系一般人數,年級班別,組別,組一般名次,成績是否全到,班名次,班人數,系名次,系人數,組名次,組人數,學年
93e575823404647eff6a03f7bc27c083f70cc66407db0013c66127520a667866,"25 ","48 ",79.26,未鎖定,法國語文學系,"25 ","48 ",4年級,,,成績全到,"24 ","47 ","24 ","47 ",,,103
9b765f253e9b83853de8825a0781c8004d4a1f5dcfbb09059d5f4fb9c04ddac3,"9  ","48 ",84.97,未鎖定,法國語文學系,"9  ","48 ",4年級,,,成績全到,"8  ","47 ","8  ","47 ",,,103
041b6c0fce8d30031cf943a8b19b59e1e4facab0c6e7987d4c607df84c3480a5,"32 ","48 ",77.42,未鎖定,法國語文學系,"32 ","48 ",4年級,,,成績全到,"31 ","47 ","31 ","47 ",,,103
60e38f3e7e53d0d479504f4cf58d67ff528686cbb870eb2adf1123c4ad4a4508,"11 ","48 ",84.48,未鎖定,法國語文學系,"11 ","48 ",4年級,,,成績全到,"10 ","47 ","10 ","47 ",,,103
a246c86f9a29445b3540afadeac6a64349be9b57bbe539e51ae7764badba1d2f,"15 ","48 ",83.68,未鎖定,法國語文學系,"15 ","48 ",4年級,,,成績全到,"14 ","47 ","14 ","47 ",,,103
1a392f47b4774bb926cb5596e926a977f9e3ffd0ec60157461bbc58f360d89b0,"13 ","48 ",84.23,未鎖定,法國語文學系,"13 ","48 ",4年級,,,成績全到,"12 ","47 ","12 ","47 ",,,103
909fb2318b008da563d487b573fa754227e7aa3a4928e8246a6698887e93bad2,"31 ","48 ",77.47,未鎖定,法國語文學系,"31 ","48 ",4年級,,,成績全到,"30 ","47 ","30 ","47 ",,,103
1e039a388f0ea5eda5c2dc5d7153d6bee5040736729ea850a1c6185a89d68ef3,"39 ","48 ",75.19,未鎖定,法國語文學系,"39 ","48 ",4年級,,,成績全到,"38 ","47 ","38 ","47 ",,,103
f561c236f9efc8e7830b89ecfdbffa7c8d684fa8852241309f0b85bee657ea04,"37 ","48 ",75.23,未鎖定,法國語文學系,"37 ","48 ",4年級,,,成績全到,"36 ","47 ","36 ","47 ",,,103
9f0eea812cf12f6372b25f4295c4ffe7fbbb191c6d2f18c4d1e69e034a95f154,"17 ","48 ",82.05,未鎖定,法國語文學系,"17 ","48 ",4年級,,,成績全到,"16 ","47 ","16 ","47 ",,,103
